#options: 1920x1080 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:47.28 aq:44.27 tex:100616 mv:32295 misc:6601 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:50.33 aq:47.03 tex:689 mv:2115 misc:1556 imb:28 pmb:233 smb:7899 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:50.33 aq:47.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:50.64 aq:47.74 tex:1881 mv:3408 misc:2111 imb:120 pmb:311 smb:7729 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:50.63 aq:48.00 tex:1 mv:18 misc:405 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:50.94 aq:47.88 tex:2728 mv:4204 misc:2500 imb:214 pmb:327 smb:7619 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:50.94 aq:48.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:49.90 aq:46.99 tex:4187 mv:5497 misc:3036 imb:296 pmb:447 smb:7417 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:50.93 aq:48.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:46.07 aq:43.31 tex:24436 mv:12920 misc:4604 imb:651 pmb:1233 smb:6276 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:49.87 aq:45.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:43.88 aq:41.18 tex:32879 mv:11319 misc:5066 imb:381 pmb:1684 smb:6095 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:46.05 aq:43.92 tex:92 mv:85 misc:463 imb:1 pmb:9 smb:8150 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:42.41 aq:39.42 tex:46552 mv:13477 misc:5555 imb:409 pmb:2228 smb:5523 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:43.87 aq:40.99 tex:89 mv:160 misc:519 imb:0 pmb:20 smb:8140 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:42.10 aq:39.13 tex:30434 mv:10823 misc:5343 imb:223 pmb:1904 smb:6033 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:42.41 aq:39.91 tex:385 mv:651 misc:988 imb:3 pmb:104 smb:8053 d:- ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:41.67 aq:38.77 tex:29302 mv:10250 misc:5224 imb:201 pmb:1815 smb:6144 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:42.09 aq:40.99 tex:302 mv:402 misc:752 imb:0 pmb:63 smb:8097 d:- ref:0 ;
